"Name","DisplayName","Status","StartType"
"WMPNetworkSvc","Windows Media Player Network Sharing Service","Stopped","Manual"
"workfolderssvc","Work Folders","Stopped","Manual"
"WpcMonSvc","Parental Controls","Stopped","Manual"
"WPDBusEnum","Portable Device Enumerator Service","Stopped","Manual"
"WpnService","Windows Push Notifications System Service","Running","Automatic"
"WpnUserService_10f16b","Windows Push Notifications User Service_10f16b","Running","Automatic"
"WSAIFabricSvc","WSAIFabricSvc","Stopped","Disabled"
"wscsvc","Security Center","Running","Automatic"
"WSearch","Windows Search","Running","Automatic"
"WSLService","WSL Service","Running","Automatic"
"wuauserv","Windows Update","Stopped","Manual"
"wuqisvc","Microsoft Usage and Quality Insights","Stopped","Manual"
"WwanSvc","WWAN AutoConfig","Stopped","Manual"
"XblAuthManager","Xbox Live Auth Manager","Stopped","Manual"
"XblGameSave","Xbox Live Game Save","Stopped","Manual"
"XboxGipSvc","Xbox Accessory Management Service","Stopped","Manual"
"XboxNetApiSvc","Xbox Live Networking Service","Stopped","Manual"
"ZTHELPER","ZTDNS Helper service","Stopped","Manual"
